COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Georgia,GEO,EURO,REPORTING,6/13/2021,203311,137025,5.1,3.435,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/17/2021,4
Germany,DEU,EURO,REPORTING,6/13/2021,62132301,40237867,74.7,48.382,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/23/2020,4
Ghana,GHA,AFRO,REPORTING,6/20/2021,1232876,852047,3.968,2.742,"Gamaleya - Sputnik V,SII - Covishield",3/2/2021,2
Gibraltar,GIB,EURO,OWID,6/12/2021,77831,39133,231.014,116.153,Pfizer BioNTech - Comirnaty,,1
Greece,GRC,EURO,REPORTING,6/13/2021,6985885,4239330,65.2,39.551,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/23/2020,4
Greenland,GRL,EURO,OWID,6/18/2021,32175,21863,56.674,38.51,Moderna - mRNA-1273,,1
Grenada,GRD,AMRO,REPORTING,6/18/2021,29157,19024,25.912,16.907,"AstraZeneca - Vaxzevria,SII - Covishield",2/15/2021,2
Guadeloupe,GLP,AMRO,REPORTING,6/18/2021,91828,57975,22.95,14.489,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/8/2021,5
Guam,GUM,WPRO,REPORTING,5/28/2021,142838,79840,84.632,47.306,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/4/2021,3
Guatemala,GTM,AMRO,REPORTING,6/18/2021,724515,604173,4.044,3.372,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",2/25/2021,4
Guernsey,GGY,EURO,OWID,6/18/2021,76401,,118.51,,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3
Guinea,GIN,AFRO,REPORTING,6/20/2021,467027,342909,3.556,2.611,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/5/2021,6
Guinea-Bissau,GNB,AFRO,REPORTING,6/20/2021,18706,18706,0.951,0.951,"Beijing CNBG - BBIBP-CorV,SII - Covishield",4/2/2021,2
Guyana,GUY,AMRO,REPORTING,6/18/2021,319096,224853,40.569,28.587,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",2/11/2021,4
Honduras,HND,AMRO,REPORTING,6/18/2021,541792,484018,5.47,4.887,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,SII - Covishield",2/26/2021,5
Hungary,HUN,EURO,REPORTING,6/13/2021,9496972,5308348,97.2,54.336,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/23/2020,7
Iceland,ISL,EURO,REPORTING,6/6/2021,289682,188029,79.6,51.637,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/30/2020,4
India,IND,SEARO,REPORTING,6/15/2021,261740273,212477080,18.967,15.397,"Bharat - Covaxin,Gamaleya - Sputnik V,SII - Covishield",1/16/2021,3
Indonesia,IDN,SEARO,REPORTING,6/15/2021,32603744,20904723,11.92,7.643,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",1/13/2021,3
Iran (Islamic Republic of),IRN,EMRO,REPORTING,6/21/2021,4968642,4013642,5.916,4.779,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V",2/9/2021,4
Iraq,IRQ,EMRO,REPORTING,6/20/2021,805363,548696,2.002,1.364,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",3/2/2021,4
Ireland,IRL,EURO,REPORTING,6/13/2021,3218310,2217448,64.8,44.667,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/30/2020,4
Isle of Man,IMN,EURO,OWID,6/20/2021,95763,62417,112.62,73.404,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Israel,ISR,EURO,REPORTING,6/6/2021,10583275,5459706,122.3,63.078,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/16/2020,2
Italy,ITA,EURO,REPORTING,6/13/2021,42952982,29029304,72,48.674,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/23/2020,4
Jamaica,JAM,AMRO,REPORTING,6/18/2021,194315,163209,6.562,5.512,"AstraZeneca - Vaxzevria,SII - Covishield",3/10/2021,2
Japan,JPN,WPRO,REPORTING,6/6/2021,15605278,11481310,12.338,9.078,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/17/2021,4
Jersey,JEY,EURO,OWID,6/13/2021,116607,65146,108.174,60.435,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3
Jordan,JOR,EMRO,REPORTING,6/20/2021,3002498,2065650,29.427,20.245,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/13/2021,6
Kazakhstan,KAZ,EURO,REPORTING,6/13/2021,3886870,2502842,20.7,13.33,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,RIBSP - QazCovid",3/10/2021,3
Kenya,KEN,AFRO,REPORTING,6/20/2021,1183376,995012,2.201,1.85,SII - Covishield,3/5/2021,1
Kiribati,KIR,WPRO,REPORTING,5/26/2021,0,0,0.001,0.001,AstraZeneca - Vaxzevria,5/26/2021,1
Kosovo,XKX,EURO,REPORTING,5/30/2021,19257,19257,1.1,1.072,AstraZeneca - AZD1222,,1
