COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Saint Lucia,LCA,AMRO,REPORTING,6/18/2021,50869,29874,27.702,16.269,"AstraZeneca - Vaxzevria,SII - Covishield",2/17/2021,2
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,6/18/2021,22980,14421,20.714,12.999,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,SII - Covishield",2/1/2021,3
Samoa,WSM,WPRO,REPORTING,6/3/2021,37572,34888,18.936,17.583,AstraZeneca - Vaxzevria,4/18/2021,1
San Marino,SMR,EURO,REPORTING,6/13/2021,43452,22685,128,66.842,"Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2/24/2021,2
Sao Tome and Principe,STP,AFRO,REPORTING,6/20/2021,23918,12374,10.914,5.646,"AstraZeneca - Vaxzevria,SII - Covishield",3/15/2021,2
Saudi Arabia,SAU,EMRO,REPORTING,6/20/2021,16558180,,47.562,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/6/2021,4
Senegal,SEN,AFRO,REPORTING,6/20/2021,593849,488203,3.547,2.916,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2/23/2021,2
Serbia,SRB,EURO,REPORTING,5/30/2021,4546379,2512190,65.6,36.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",12/23/2020,4
Seychelles,SYC,AFRO,REPORTING,6/20/2021,137676,70660,139.99,71.848,"Beijing CNBG - BBIBP-CorV,SII - Covishield",1/10/2021,2
Sierra Leone,SLE,AFRO,REPORTING,6/20/2021,97315,82145,1.22,1.03,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/15/2021,2
Singapore,SGP,WPRO,REPORTING,5/31/2021,4392067,2503814,75.074,42.798,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/30/2020,3
Sint Eustatius,XBA,AMRO,REPORTING,6/18/2021,2236,1205,71.233,38.388,,,
Sint Maarten,SXM,AMRO,REPORTING,6/18/2021,36209,20358,84.439,47.474,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2/22/2021,3
Slovakia,SVK,EURO,REPORTING,6/13/2021,3020918,1850311,55.3,33.902,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/6/2021,4
Slovenia,SVN,EURO,REPORTING,6/13/2021,1310180,763458,62.5,36.427,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/23/2020,4
Solomon Islands,SLB,WPRO,REPORTING,6/10/2021,18889,17439,2.75,2.539,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/23/2021,2
Somalia,SOM,EMRO,REPORTING,6/22/2021,178264,135107,1.122,0.85,"Beijing CNBG - BBIBP-CorV,SII - Covishield,Sinovac - CoronaVac",3/16/2021,3
South Africa,ZAF,AFRO,REPORTING,6/20/2021,1871987,1871987,3.156,3.156,Janssen - Ad26.COV 2.5,2/17/2021,1
South Sudan,SSD,AFRO,REPORTING,6/20/2021,29410,27338,0.263,0.244,SII - Covishield,4/6/2021,1
Spain,ESP,EURO,REPORTING,6/13/2021,31493943,20147031,66.5,42.565,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/30/2020,4
Sri Lanka,LKA,SEARO,REPORTING,6/14/2021,2930212,2317012,13.684,10.82,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",1/29/2021,3
Sudan,SDN,EMRO,REPORTING,6/20/2021,610924,508271,1.393,1.159,"Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/9/2021,4
Suriname,SUR,AMRO,REPORTING,6/18/2021,161829,132423,27.586,22.573,"AstraZeneca - Vaxzevria,SII - Covishield",2/23/2021,2
Sweden,SWE,EURO,REPORTING,6/13/2021,6426443,4185959,62.2,40.532,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/23/2020,3
Switzerland,CHE,EURO,REPORTING,6/13/2021,5869211,3620074,67.8,41.828,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/23/2020,2
Syrian Arab Republic,SYR,EMRO,REPORTING,6/21/2021,108276,102319,0.619,0.585,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",4/1/2021,3
Tajikistan,TJK,EURO,REPORTING,6/13/2021,102711,89121,1.1,0.934,"AstraZeneca - Vaxzevria,SII - Covishield",3/24/2021,2
Thailand,THA,SEARO,REPORTING,6/13/2021,6188124,4531914,8.866,6.493,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",2/28/2021,4
The United Kingdom,GBR,EURO,OWID,6/20/2021,71672208,41698429,105.6,61.424,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/21/2020,3
Timor-Leste,TLS,SEARO,REPORTING,6/15/2021,110531,103813,8.383,7.874,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",4/7/2021,3
Togo,TGO,AFRO,REPORTING,6/20/2021,347246,270784,4.194,3.271,SII - Covishield,3/10/2021,1
Tonga,TON,WPRO,REPORTING,6/14/2021,28667,28667,27.122,27.122,AstraZeneca - Vaxzevria,4/14/2021,1
Trinidad and Tobago,TTO,AMRO,REPORTING,6/18/2021,195540,169286,13.972,12.096,"AstraZeneca - Vaxzevria,SII - Covishield",2/17/2021,2
Tunisia,TUN,EMRO,REPORTING,6/20/2021,1554145,1147850,13.15,9.712,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/13/2021,4
Turkey,TUR,EURO,OWID,6/20/2021,34052689,20318690,40.4,24.092,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac",,2
Turkmenistan,TKM,EURO,REPORTING,4/4/2021,41993,32240,0.7,0.535,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SRCVB - EpiVacCorona",3/31/2021,4
Turks and Caicos Islands,TCA,AMRO,REPORTING,6/18/2021,38110,22700,98.43,58.629,Pfizer BioNTech - Comirnaty,1/11/2021,1
Tuvalu,TUV,WPRO,REPORTING,4/30/2021,2344,2344,19.878,19.878,AstraZeneca - Vaxzevria,4/13/2021,1
Uganda,UGA,AFRO,REPORTING,6/20/2021,831213,780736,1.817,1.707,SII - Covishield,3/10/2021,1
Ukraine,UKR,EURO,REPORTING,6/13/2021,1718890,1497570,3.9,3.424,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/24/2021,5
United Arab Emirates,ARE,EMRO,OWID,6/20/2021,14512626,,146.734,,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Wuhan CNBG - Inactivated, Gamaleya - Sputnik V",,5
United States of America,USA,AMRO,REPORTING,6/18/2021,317983185,180596682,96.067,54.56,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/14/2020,3
Uruguay,URY,AMRO,REPORTING,6/18/2021,3471590,2134320,99.938,61.442,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/27/2021,3
Uzbekistan,UZB,EURO,REPORTING,6/13/2021,1144934,417132,3.4,1.387,"Anhui ZL - Recombinant,Gamaleya - Sputnik V,SII - Covishield",5/12/2021,3
Vanuatu,VUT,WPRO,OWID,6/15/2021,5140,5140,1.673,1.673,AstraZeneca - AZD1222,,1
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,6/18/2021,1302992,1079134,4.582,3.795,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Wuhan CNBG - Inactivated",2/22/2021,3
Viet Nam,VNM,WPRO,REPORTING,6/11/2021,1461571,1411548,1.502,1.45,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V",3/8/2021,2
Wallis and Futuna,WLF,WPRO,REPORTING,5/21/2021,8186,4341,72.79,38.6,Moderna - mRNA-1273,3/19/2021,1
Yemen,YEM,EMRO,REPORTING,6/20/2021,251385,251385,0.843,0.843,SII - Covishield,4/20/2021,1
Zambia,ZMB,AFRO,REPORTING,6/20/2021,147220,141934,0.801,0.772,SII - Covishield,4/14/2021,1
Zimbabwe,ZWE,AFRO,REPORTING,6/20/2021,1126087,698953,7.576,4.703,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Sinovac - CoronaVac",2/18/2021,3
